# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Quarterly Review of Economics and Finance","Q. Rev. Econ. Finance"
"Quarterly Reviews of Biophysics","Q. Rev. Biophys."
"Quarterly Reviews on Drug Metabolism and Drug Interactions","Q. Rev. Drug Metab. Drug Interact."
"Queens Nursing Journal","Queens Nurs. J."
"Queensland Nurse","Qld. Nurse"
"Queensland Nurses Journal","Qld. Nurses J."
"Quimica Nova","Quim. Nova"
"Quintessence International","Quintessence Int."
"Quintessence International. Edition Francaise","Quintessence Int. [Fr.]"
"Quintessence of Dental Technology","Quintessence Dent. Technol."
"Quintessencia","Quintessencia"
"Quintessencia de Protese de Laboratorio","Quintessencia Protese Lab."
"Quintessenz","Quintessenz"
"Quintessenz der Zahntechnik","Quintessenz Zahntech."
"Quintessenz Journal","Quintessenz J."
"Quintessenz-Impulse","Quintessenz. Impulse"
"Quintessenza","Quintessenza"
"R.I. Medical Journal","R. I. Med. J."
"Radiation and Environmental Biophysics","Radiat. Environ. Biophys."
"Radiation Data and Reports","Radiat. Data Rep."
"Radiation Effects and Defects in Solids","Radiat. Eff. Defects Solids"
"Radiation Measurements","Radiat. Meas."
"Radiation Medicine","Radiat. Med."
"Radiation Oncology Investigations","Radiat. Oncol. Investig."
"Radiation Physics and Chemistry","Radiat. Phys. Chem."
"Radiation Research","Radiat. Res."
"Radiation Research. Supplement","Radiat. Res. Suppl."
"Radiatsionnaia Biologiia, Radioecologiia","Radiats. Biol. Radioecol."
"Radiobiologia, Radioterapia e Fisica Medica","Radiobiol. Radioter. Fis. Med."
"Radiobiologia, Radiotherapia","Radiobiol. Radiother. (Berl.)"
"Radiobiologiia","Radiobiologiia"
"Radiochemistry (Moscow, Russian Federation)","Radiochemistry (Moscow, Russ. Fed.)"
"Radiochimica Acta","Radiochim. Acta"
"Radiographics","Radiographics"
"Radiography","Radiography"
"Radiography Today","Radiogr. Today"
"Radioisotopes","Radioisotopes"
"Radiologe","Radiologe"
"Radiologia Austriaca","Radiol. Austriaca"
"Radiologia Clinica","Radiol. Clin. (Basel)"
"Radiologia Clinica et Biologica","Radiol. Clin. Biol."
"Radiologia Diagnostica","Radiol. Diagn. (Berl.)"
"Radiologia Medica","Radiol. Med. (Torino)"
"Radiologic Clinics of North America","Radiol. Clin. North Am."
"Radiologic Technology","Radiol. Technol."
"Radiological Health Data and Reports","Radiol. Health Data Rep."
"Radiology","Radiology"
"Radiology Management","Radiol. Manage."
"Radioprotection","Radioprotection"
"Radiotherapy and Oncology","Radiother. Oncol."
"Radovi Medicinskog Fakulteta u Zagrebu","Rad. Med. Fak. Zagrebu"
"Rand Journal of Economics","Rand J. Econ."
"RANF Review","RANF Rev."
"Ranliao Huaxue Xuebao","Ranliao Huaxue Xuebao"
"Rapid Communications in Mass Spectrometry","Rapid Commun. Mass Spectrom."
"Rare Metals (Beijing, China)","Rare Met. (Beijing, China)"
"Rassegna Clinico-Scientifica","Rass. Clin. Sci."
"Rassegna di Clinica Terapia e Scienze Affini","Rass. Clin. Ter."
"Rassegna di Dermatologia e Sifilografia","Rass. Dermatol. Sifilogr."
"Rassegna di Fisiopatologia Clinica e Terapeutica","Rass. Fisiopatol. Clin. Ter."
"Rassegna di Neurologia Vegetativa","Rass. Neurol. Veg."
"Rassegna di Neuropsichiatria e Scienze Affini","Rass. Neuropsichiatr."
"Rassegna di Studi Psichiatrici","Rass. Studi Psichiatr."
"Rassegna Internazionale di Clinica e Terapia","Rass. Int. Clin. Ter."
"Rassegna Internazionale di Stomatologia Pratica","Rass. Int. Stomatol. Prat."
"Rassegna Medica Sarda","Rass. Med. Sarda"
"Rassegna Odontotecnica","Rass. Odontotec."
"Rassegna Penitenziaria e Criminologica","Rass. Penititenziaria. Crim."
"Rassegna Trimestrale di Odontoiatria","Rass. Trimest. Odontoiatr."
"Rational Drug Therapy","Ration. Drug Ther."
"Rays","Rays"
"RCN Nursing Standard","RCN Nurs. Stand."
"RDH","RDH"
"Reaction Chemistry & Engineering","React. Chem. Eng."
"Reaction Kinetics, Mechanisms and Catalysis","React. Kinet., Mech. Catal."
"Reactive & Functional Polymers","React. Funct. Polym."
"Readers Digest","Read. Dig."
"Realites Cliniques","Real. Clin."
"Reanimation et Organes Artificiels","Reanim. Organes Artif."
"Recent Advances in Biological Psychiatry","Recent Adv. Biol. Psychiatry"
"Recent Advances in Cardiovascular Drug Discovery","Recent Adv. Cardiovasc. Drug Discovery"
"Recent Advances in Clinical Nuclear Medicine","Recent Adv. Clin. Nucl. Med."
"Recent Advances in DNA & Gene Sequences","Recent Adv. DNA Gene Sequences"
"Recent Advances in Nursing","Recent Adv. Nurs."
"Recent Advances in Studies on Cardiac Structure and Metabolism","Recent Adv. Stud. Cardiac Struct. Metab."
"Recent Developments in Alcoholism","Recent Dev. Alcohol."
"Recent Pat. Biotechnol.","Recent Pat. Biotechnol."
"Recent Patents on Anti-Cancer Drug Discovery","Recent Pat. Anti-Cancer Drug Discovery"
"Recent Patents on Anti-Infective Drug Discovery","Recent Pat. Anti-Infect. Drug Discovery"
"Recent Patents on CNS Drug Discovery","Recent Pat. CNS Drug Discovery"
"Recent Patents on Drug Delivery & Formulation","Recent Pat. Drug Delivery Formulation"
"Recent Patents on Endocrine, Metabolic & Immune Drug Discovery","Recent Pat. Endocr., Metab. Immune Drug Discovery"
"Recent Patents on Inflammation & Allergy Drug Discovery","Recent Pat. Inflammation Allergy Drug Discovery"
"Recent Patents on Nanotechnology","Recent Pat. Nanotechnol."
"Recent Progress in Hormone Research","Recent Prog. Horm. Res."
"Recent Results in Cancer Research","Recent Results Cancer Res."
"Recenti Progressi in Medicina","Recenti Prog. Med."
"Receptor","Receptor"
"Receptors and Channels","Receptors Channels"
"Receptors and Signal Transduction","Recept. Signal Transduct."
"Recherche en Soins Infirmiers","Rech. Soins Infirm."
"Recombinant DNA Technical Bulletin","Recomb. DNA Tech. Bull."
"Reconstruction Surgery and Traumatology","Reconstr. Surg. Traumatol."
"Record of Chemical Progress","Rec. Chem. Prog."
"Recruit and Retain","Recruit Retain"
"Recruitment and Retention Report","Recruit. Retent. Rep."
"Recruitment, Retention and Restructuring Report","Recruit. Retent. Restruct. Rep."
"Redox Biology","Redox Biol."
"Reflections","Reflections"
"Refractive and Corneal Surgery","Refract. Corneal Surg."
"Refuat ha-Shinayim","Refu. Hashinayim"
"Regan Report on Nursing Law","Regan Rep. Nurs. Law"
"Regenerative Medicine","Regener. Med."
"Regional Anaesthesie","Reg. Anaesth."
"Regional Anesthesia","Reg. Anesth."
"Regional Anesthesia and Pain Medicine","Reg. Anesth. Pain Med."
"Regional Immunology","Reg. Immunol."
"Registered Nurse","Regist. Nurse"
"Regulation","Regulation"
"Regulatory Analyst. Medical Waste","Regul. Anal. Med. Waste"
"Regulatory Peptides","Regul. Pept."
"Regulatory Peptides. Supplement","Regul. Pept. Suppl."
"Regulatory Toxicology and Pharmacology","Regul. Toxicol. Pharmacol."
"Rehab Management","Rehab Manag."
"Rehabilitation","Rehabilitation (Stuttg.)"
"Rehabilitation Literature","Rehabil. Lit."
"Rehabilitation Nursing","Rehabil. Nurs."
"Rehabilitation Record","Rehabil. Rec."
"Rehabilitation; Sozialmedizin, Physikalischemedizin, Praventivmedizin","Rehabilitation (Bonn)"
"Rein et Foie","Rein Foie"
"Rejuvenation Research","Rejuvenation Res."
"Renal Failure","Ren. Fail."
"Renal Physiology","Renal Physiol."
"Renal Physiology and Biochemistry","Ren. Physiol. Biochem."
"Rengong Jingti Xuebao","Rengong Jingti Xuebao"
"Report of the Congress, European Orthodontic Society","Rep. Congr. Eur. Orthod. Soc."
"Report, Commission on Accreditation of Rehabilitation Facilities","Rep. Comm. Accredit. Rehabil. Facil."
"Report, Group for the Advancement of Psychiatry","Rep. Group Adv. Psychiatry"
"Report, Navy Medical Neuropsychiatric Research Unit","Rep. Nav. Med. Neuropsychiatr. Res. Unit"
"Report, U.S. Army Medical Research and Nutrition Laboratory, Denver","Rep. US. Army Med. Res. Nutr. Lab. Denver"
"Report, U.S. Army Medical Research Laboratory","Rep. US. Army Med. Res. Lab."
"Report, U.S. Navy Experimental Diving Unit","Rep. US. Navy Exp. Diving Unit"
"Report, US Naval Submarine Medical Center","Rep. US Nav. Submar. Med. Cent."
"Reporter, Delaware Nurses Association","Rep. Del. Nurses Assoc."
"Reports on Health and Social Subjects","Rep. Health Soc. Subj. (Lond.)"
"Reports on Population/Family Planning","Rep. Popul. Fam. Plann."
"Reports on Public Health and Medical Subjects","Rep. Public Health Med. Subj. (Lond.)"
"Reports on Rheumatic Diseases","Rep. Rheum. Dis."
"Reproduccion","Reproduccion"
"Reproduction","Reproduction"
"Reproduction (Bristol, United Kingdom)","Reproduction (Bristol, U. K.)"
"Reproduction, Fertility, and Development","Reprod. Fertil. Dev."
"Reproduction, Nutrition, Development","Reprod. Nutr. Dev."
"Reproduction, Nutrition, Developpement","Reprod. Nutr. Dev."
"Reproduction. Abstract Series","Reprod. Abstr. Ser."
"Reproduction. Supplement","Reprod. Suppl."
"Reproductive Biology","Reprod. Biol."
"Reproductive Biology and Endocrinology","Reprod. Biol. Endocrinol."
"Reproductive Biomedicine Online","Reprod. Biomed. Online"
"Reproductive Toxicology","Reprod. Toxicol."
"Repura (Leprosy)","Repura"
"Research and Clinical Studies in Headache","Res. Clin. Stud. Headache"
"Research and Statistics Note, Health Care Financing Administration, Office of Policy, Planning, and Research","Res. Stat. Note Health Care Financ. Adm. Off. Policy. Plan. Res."
"Research and Statistics Note, Social Security Administration, Office of Research and Statistics","Res. Stat. Note"
"Research and Theory for Nursing Practice","Res. Theory Nurs. Pract."
"Research Communications in Chemical Pathology and Pharmacology","Res. Commun. Chem. Pathol. Pharmacol."
"Research Communications in Molecular Pathology and Pharmacology","Res. Commun. Mol. Pathol. Pharmacol."
"Research Communications, Institute for Fermentation","Res. Commun. Inst. Ferment."
"Research in Developmental Disabilities","Res. Dev. Disabil."
"Research in Experimental Medicine","Res. Exp. Med. (Berl.)"
"Research in Health Economics","Res. Health Econ."
"Research in Immunology","Res. Immunol."
"Research in Microbiology","Res. Microbiol."
"Research in Nursing and Health","Res. Nurs. Health"
"Research in Reproduction","Res. Reprod."
"Research in Sports Medicine","Res. Sports Med."
"Research in Veterinary Science","Res. Vet. Sci."
"Research in Virology","Res. Virol."
"Research on Aging","Res. Aging"
"Research on Chemical Intermediates","Res. Chem. Intermed."
"Research Progress in Organic, Biological and Medicinal Chemistry","Res. Prog. Org. Biol. Med. Chem."
"Research Publications, Association for Research in Nervous and Mental Disease","Res. Publ. Assoc. Res. Nerv. Ment. Dis."
"Research Quarterly","Res. Q."
"Research Quarterly for Exercise and Sport","Res. Q. Exerc. Sport"
"Research Report, Health Effects Institute","Res. Rep. Health Eff. Inst."
"Research Report, United States Naval School of Aviation Medicine","Res. Rep. U. S. Nav. Sch. Aviat. Med."
"Research Reports, United States Naval Medical Field Research Laboratory","Res. Rep. U. S. Nav. Med. Field Res. Lab."
"Resenha Clinico-Cientifica","Resen. Clin. Cient."
"Resident and Staff Physician","Resid. Staff Physician"
"Residue Reviews","Residue Rev."
"Resources for Biomedical Research and Education","Resour. Biomed. Res. Educ."
"Respiration","Respiration"
"Respiration Physiology","Respir. Physiol."
"Respiratory Care","Respir. Care"
"Respiratory Care Clinics of North America","Respir. Care Clin. N. Am."
"Respiratory Management","Respir. Manage."
"Respiratory Medicine","Respir. Med."
"Respiratory Physiology and Neurobiology","Respir. Physiol. Neurobiol."
"Respiratory Research","Respir. Res."
"Respiratory Therapy","Respir. Ther."
"Respirology","Respirology"
"Restaurants and Institutions","Restaurants Inst."
"Restorative Dentistry","Restorative Dent."
"Results and Problems in Cell Differentiation","Results Probl. Cell Differ."
"Resuscitation","Resuscitation"
"Retina","Retina"
"Retrovirology","Retrovirology"
"Reumatismo","Reumatismo"
"Reumatizam","Reumatizam"
"Reumatologia","Reumatologia"
"Review of Allergy","Rev. Allergy"
"Review of Czechoslovak Medicine","Rev. Czech. Med."
"Review of Economics and Statistics","Rev. Econ. Stat."
"Review of Public Data Use","Rev. Public Data Use"
"Review of Scientific Instruments","Rev. Sci. Instrum."
"Review of Surgery","Rev. Surg."
"Review, Federation of American Health Systems","Rev. Fed. Am. Health Syst."
"Review, Federation of American Hospitals","Rev. Fed. Am. Hosp."
"Review, Patient Focused Care Association","Rev. Patient Focus. Care Assoc."
"Reviews in Analytical Chemistry","Rev. Anal. Chem."
"Reviews in Cardiovascular Medicine","Rev. Cardiovasc. Med."
"Reviews in Clinical and Basic Pharmacology","Rev. Clin. Basic Pharm."
"Reviews in Clinical and Experimental Hematology","Rev. Clin. Exp. Hematol."
"Reviews in Endocrine and Metabolic Disorders","Rev. Endocr. Metab. Disord."
"Reviews in Gastroenterological Disorders","Rev. Gastroenterol. Disord."
"Reviews in Immunogenetics","Rev. Immunogenet."
"Reviews in Inorganic Chemistry","Rev. Inorg. Chem."
"Reviews in Medical Virology","Rev. Med. Virol."
"Reviews in Neurological Diseases","Rev. Neurol. Dis."
"Reviews in Pure and Applied Pharmacological Sciences","Rev. Pure Appl. Pharmacol. Sci."
"Reviews in the Neurosciences","Rev. Neurosci."
"Reviews of Environmental Contamination and Toxicology","Rev. Environ. Contam. Toxicol."
"Reviews of Infectious Diseases","Rev. Infect. Dis."
"Reviews of Oculomotor Research","Rev. Oculomot. Res."
"Reviews of Physiology, Biochemistry and Pharmacology","Rev. Physiol. Biochem. Pharmacol."
"Reviews of Reproduction","Rev. Reprod."
"Reviews on Drug Metabolism and Drug Interactions","Rev. Drug Metab. Drug Interact."
"Reviews on Environmental Health","Rev. Environ. Health"
"Revisiones sobre Biologia Celular","Revis. Biol. Celular"
"Revista ADM","Rev. ADM"
"Revista Alergia","Rev. Alerg."
"Revista Alergia Mexico","Rev. Alerg. Mex."
"Revista Argentina de Cirugia","Rev. Argent. Cir."
"Revista Argentina de Endocrinologia y Metabolismo","Rev. Argent. Endocrinol. Metab."
"Revista Argentina de Implantologia Estomatologica","Rev. Argent. Implantol. Estomatol."
"Revista Argentina de Microbiologia","Rev. Argent. Microbiol."
"Revista Argentina de Urologia y Nefrologia","Rev. Argent. Urol. Nefrol."
"Revista Brasileira de Anestesiologia","Rev. Bras. Anestesiol."
"Revista Brasileira de Biologia","Rev. Bras. Biol."
"Revista Brasileira de Cirurgia","Rev. Bras. Cir."
"Revista Brasileira de Enfermagem","Rev. Bras. Enferm."
"Revista Brasileira de Gastroenterologia","Rev. Bras. Gastroenterol."
"Revista Brasileira de Leprologia","Rev. Bras. Leprol."
"Revista Brasileira de Malariologia e Doencas Tropicais","Rev. Bras. Malariol. Doencas Trop."
"Revista Brasileira de Medicina","Rev. Bras. Med."
"Revista Brasileira de Odontologia","Rev. Bras. Odontol."
"Revista Brasileira de Odontologia Militar","Rev. Bras. Odontol. Mil."
"Revista Brasileira de Oftalmologia","Rev. Bras. Oftalmol."
"Revista Brasileira de Pesquisas Medicas e Biologicas","Rev. Bras. Pesqui. Med. Biol."
"Revista Catarinense de Odontologia","Rev. Catarinense Odontol."
"Revista Centro America Odontologica","Rev. Cent. Am. Odontol."
"Revista Chilena de Obstetricia y Ginecologia","Rev. Chil. Obstet. Ginecol."
"Revista Chilena de Odontoestomatologia","Rev. Chil. Odontoestomatol."
"Revista Chilena de Pediatria","Rev. Chil. Pediatr."
"Revista Clinica Espanola","Rev. Clin. Esp."
"Revista Clinica, Instituto Maternal, Lisbon","Rev. Clin. Inst. Matern. Lisb."
"Revista Colombiana de Obstetricia y Ginecologia","Rev. Colomb. Obstet. Ginecol."
"Revista Colombiana de Pediatria y Puericultura","Rev. Colomb. Pediatr. Pueric."
"Revista Costarricense de Ciencias Medicas","Rev. Costarric. Cienc. Med."
"Revista Cubana de Enfermeria","Rev. Cubana Enferm."
"Revista Cubana de Estomatologia","Rev. Cubana Estomatol."
"Revista Cubana de Medicina Tropical","Rev. Cubana Med. Trop."
"Revista da Associacao Medica Brasileira","Rev. Assoc. Med. Bras."
"Revista da Associacao Paulista de Cirurgioes Dentistas","Rev. Assoc. Paul. Cir. Dent."
"Revista da Escola de Enfermagem da USP","Rev. Esc. Enferm. USP"
"Revista da Faculdade de Farmacia e Odontologia de Araraquara","Rev. Fac. Farm. Odontol. Araraquara"
"Revista da Faculdade de Farmacia e Odontologia de Ribeirao Preto","Rev. Fac. Farm. Odontol. Ribeiro. Preto"
"Revista da Faculdade de Odontologia da FZL","Rev. Faculdade Odontol. FZL"
"Revista da Faculdade de Odontologia da Universidade de Sao Paulo","Rev. Fac. Odontol. Sao Paulo"
"Revista da Faculdade de Odontologia da Universidade Federal da Bahia","Rev. Fac. Odontol. Univ. Fed. Bahia"
"Revista da Faculdade de Odontologia de Aracatuba","Rev. Fac. Odontol. Aracatuba"
"Revista da Faculdade de Odontologia de Lins","Rev. Faculdade Odontol. Lins"
"Revista da Faculdade de Odontologia de Pernambuco","Rev. Fac. Odontol. Pernambuco"
"Revista da Faculdade de Odontologia de Ribeirao Preto","Rev. Fac. Odontol. Ribeiro Preto"
"Revista da Faculdade de Odontologia de Sao Jose dos Campos","Rev. Fac. Odontol. Sao Jose dos Campos"
"Revista da Faculdade de Odontologia, Porto Alegre","Rev. Fac. Odontol. P. Alegre"
"Revista da Sociedade Brasileira de Medicina Tropical","Rev. Soc. Bras. Med. Trop."
"Revista de Actualidad Estomatologica Espanola","Rev. Actual. Estomatol. Esp."
"Revista de Actualidad Odontoestomatologica Espanola","Rev. Actual. Odontoestomatol. Esp."
"Revista de Biologia Oral","Rev. Biol. Oral"
"Revista de Biologia Tropical","Rev. Biol. Trop."
"Revista de Chimie (Bucharest, Romania)","Rev. Chim. (Bucharest, Rom.)"
"Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Chirurgie","Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Chir."
"Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Oto-Rino-Laringologia","Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Otorinolaringol."
"Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Seria Oftalmologie","Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Ser. Oftalmol."
"Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftalmologie, Stomatologie. Seria Stomatologie","Rev. Chir. Oncol. Radiol. O. R. L. Oftalmol. Stomatol. Ser. Stomatol."
"Revista de Cirugia del Uruguay","Rev. Cir. Urug."
"Revista de Enfermagem","Rev. Enferm. (Lisboa)"
"Revista de Enfermeria","Rev. Enferm."
"Revista de Farmacia e Bioquimica da Universidade de Sao Paulo","Rev. Farm. Bioquim. Univ. Sao Paulo"
"Revista de Farmacia e Odontologia","Rev. Farm. Odontol."
"Revista de Gastroenterologia de Mexico","Rev. Gastroenterol. Mex."
"Revista de Gastroenterologia del Peru","Rev. Gastroenterol. Peru"
"Revista de Ginecologia e d'Obstetricia","Rev. Ginecol. Obstet. (Sao Paulo)"
"Revista de Igiena, Bacteriologie, Virusologie, Parazitologie, Epidemiologie, Pneumoftiziologie. Bacteriologia, Virusologia, Parazitologia, Epidemiologia","Rev. Ig. Bacteriol. Virusol. Parazitol. Epidemiol. Pneumoftiziol. Bacteriol. Virusol. Parazitol. Epi"
"Revista de Igiena, Bacteriologie, Virusologie, Parazitologie, Epidemiologie, Pneumoftiziologie. Pneumoftiziologia","Rev. Ig. Bacteriol. Virusol. Parazitol. Epidemiol. Pneumoftiziol. Pneumoftiziol."
"Revista de Investigacion","Rev. Invest. (Guadalajara)"
"Revista de Investigacion Clinica","Rev. Invest. Clin."
"Revista de Investigacion en Salud Publica","Rev. Invest. Salud Publica"
"Revista de la Agrupacion Odontologica de la Capital Federal","Rev. Agrup. Odontol. Cap. Fed."
"Revista de la Asociacion Argentina de Microbiologia","Rev. Asoc. Argent. Microbiol."
"Revista de la Asociacion de Profesionales del Hospital Nacional de Odontologia","Rev. Asoc. Prof. Hosp. Nac. Odontol."
"Revista de la Asociacion Medica Argentina","Rev. Asoc. Med. Argent."
"Revista de la Asociacion Mexicana de Enfermeras","Rev. Asoc. Mex. Enferm."
"Revista de la Asociacion Odontologica Argentina","Rev. Asoc. Odontol. Argent."
"Revista de la Asociacion Odontologica de Costa Rica","Rev. Asoc. Odontol. Costa Rica"
"Revista de la Escuela de Odontologia, Universidad Nacional de Tucuman, Facultad de Medicina","Rev. Esc. Odontol. Tucuman."
"Revista de la Facultad de Ciencias Medicas de Cordoba","Rev. Fac. Cienc. Med. Cordoba"
"Revista de la Facultad de Ciencias Medicas de la Universidad Nacional de Cordoba","Rev. Fac. Cien. Med. Univ. Nac. Cordoba"
"Revista de la Facultad de Ciencias Medicas, Universidad Nacional de Cordoba","Rev. Fac. Cien. Med. Univ. Nac. Cordoba"
"Revista de la Facultad de Medicina, Universidad Nacional de Colombia","Rev. Fac. Med. Univ. Nac. Colomb."
"Revista de la Facultad de Odontologia","Rev. Fac. Odontol. Univ. Nac. (Cordoba)"
"Revista de la Facultad de Odontologia de la Universidad Nacional de Colombia","Rev. Fac. Odontol. Univ. Nac. Colomb."
"Revista de la Facultad de Odontologia, Universidad de Antioquia","Rev. Fac. Odontol. Univ. Antioq."
"Revista de la Facultad de Odontologia, Universidad Nacional de Tucuman","Rev. Fac. Odontol. Tucuman"
"Revista de la Federacion Odontologica Colombiana","Rev. Fed. Odontol. Colomb."
"Revista de la Federacion Odontologica Ecuatoriana","Rev. Fed. Odontol. Ecuat."
"Revista de la Sanidad Militar Argentina","Rev. Sanid. Milit. Argent."
"Revista de la Sociedad Argentina de Biologia","Rev. Soc. Argent. Biol."
"Revista de la Sociedad Colombiana de Ortodoncia","Rev. Soc. Colomb. Ortod."
"Revista de la Sociedad Odontologica de la Plata","Rev. Soc. Odontol. La. Plata"
"Revista de la Sociedad Peruana de Endocrinologia","Rev. Soc. Peru. Endocrinol."
"Revista de la Sociedad Quimica del Peru","Rev. Soc. Quim. Peru"
"Revista de Medicina de la Universidad de Navarra","Rev. Med. Univ. Navarra"
"Revista de Medicina Interna, Neurologie, Psihiatrie, Neurochirurgie, Dermato-Venerologie. Medicina Interna","Rev. Med. Interna Neurol. Psihiatr. Neurochir. Dermatovenerol. Med. Intern."
"Revista de Medicina Interna, Neurologie, Psihiatrie, Neurochirurgie, Dermato-Venerologie. Neurologie, Psihiatrie, Neurochirurgie","Rev. Med. Interna Neurol. Psihiatr. Neurochir. Dermatovenerol. Neurol. Psihiatr. Neurochir."
"Revista de Neuro-Psiquiatria","Rev. Neuropsiquiatr."
"Revista de Neurologia","Rev. Neurol."
"Revista de Obstetricia y Ginecologia de Venezuela","Rev. Obstet. Ginecol. Venez."
"Revista de Odontologia da UNESP","Rev. Odontol. UNESP"
"Revista de Odontologia da Universidade de Sao Paulo","Rev. Odontol. Univ. Sao Paulo"
"Revista de Odontologia da Universidade Federal de Santa Catarina","Rev. Odontol. St. Catarina"
"Revista de Pediatrie, Obstetrica si Ginecologie. Obstetrica si Ginecologie","Rev. Pediatr. Obstet. Ginecol. Obstet. Ginecol."
"Revista de Pediatrie, Obstetrica si Ginecologie. Pediatria","Rev. Pediatr. Obstet. Ginecol. Pediatr."
"Revista de Sanidad e Higiene Publica","Rev. Sanid. Hig. Publica (Madr.)"
"Revista de Saúde Pública","Rev. Saúde Pública"
"Revista del Ateneo Argentino de Odontologia","Rev. Ateneo Argent. Odontol."
"Revista del Ateneo de la Catedra de Tecnica de Operatoria Dental","Rev. Ateneo Catedra Tec. Oper. Dent."
"Revista del Circulo Argentino de Odontologia","Rev. Circ. Argent. Odontol."
"Revista del Circulo Odontologico de Cordoba","Rev. Circ. Odontol. Cordoba"
"Revista del Circulo Odontologico de Rosario","Rev. Circul. Ondontol. Ros."
"Revista del Circulo Odontologico del Sur","Rev. Circ. Odontol. Sur"
"Revista del Colegio Estomatologico de Guatemala","Rev. Col. Estomatol. Guatem."
"Revista del Colegio Medico de Guatemala","Rev. Col. Med. Guatem."
"Revista del Colegio Nacional de Enfermeras","Rev. Col. Nac. Enferm."
"Revista del Instituto de Salubridad y Enfermedades Tropicales","Rev. Inst. Salubr. Enferm. Trop."
"Revista del Instituto Nacional de Cancerologia","Rev. Inst. Nac. Cancerol. (Mex.)"
"Revista del Museo de la Facultad de Odontologia de Buenos Aires","Rev. Museo Fac. Odontol. B. Aires"
"Revista Dental","Rev. Dent. (St. Domingo)"
"Revista Dental de Chile","Rev. Dent. Chile"
"Revista do Centro de Ciencias Biomedicas da Universidade Federal de Uberlandia","Rev. Centro Cienc. Biomed. Univ. Fed. Uberlandia"
"Revista do Hospital das Clinicas, Faculdade de Medicina da Universidade de Sao Paulo","Rev. Hosp. Clin. Fac. Med. Sao Paulo"
"Revista do Instituto de Antibioticos, Universidade Federal de Pernambuco","Rev. Inst. Antibiot. (Recife)"
"Revista do Instituto de Medicina Tropical de Sao Paulo","Rev. Inst. Med. Trop. Sao Paulo"
"Revista do Instituto de Medicina Tropical de São Paulo","Rev. Inst. Med. trop. S. Paulo"
"Revista Ecuatoriana de Higiene y Medicina Tropical","Rev. Ecuat. Hig. Med. Trop."
"Revista Enfermagem em Novas Dimensoes","Rev. Enferm. Nov. Dimens."
"Revista Espanola de Anestesiologia","Rev. Esp. Anestesiol."
"Revista Espanola de Anestesiologia y Reanimacion","Rev. Esp. Anestesiol. Reanim."
"Revista Espanola de Cardiologia","Rev. Esp. Cardiol."
"Revista Espanola de Endodoncia","Rev. Esp. Endodoncia"
"Revista Espanola de Enfermedades Digestivas","Rev. Esp. Enferm. Dig."
"Revista Espanola de Estomatologia","Rev. Esp. Estomatol."
"Revista Espanola de Fisiologia","Rev. Esp. Fisiol."
"Revista Espanola de las Enfermedades del Aparato Digestivo","Rev. Esp. Enferm. Apar. Dig."
"Revista Espanola de Medicina Nuclear","Rev. Esp. Med. Nucl."
"Revista Espanola de Obstetricia y Ginecologia","Rev. Esp. Obstet. Ginecol."
"Revista Espanola de Oncologia","Rev. Esp. Oncol."
"Revista Espanola de Oto-Neuro-Oftalmologia y Neurocirugia","Rev. Esp. Otoneurooftalmol. Neurocir."
"Revista Espanola de Paradoncia","Rev. Esp. Parad."
"Revista Espanola de Pediatria","Rev. Esp. Pediatr."
"Revista Espanola de Quimioterapia","Rev. Esp. Quimioter."
"Revista Espanola de Reumatismo y Enfermedades Osteo-Articulares","Rev. Esp. Reum. Enferm. Osteoartic."
"Revista Espanola de Salud Publica","Rev. Esp. Salud Publica"
"Revista Espanola de Tuberculosis","Rev. Esp. Tuberc."
"Revista Europea de Odonto-Estomatologia","Rev. Eur. Odontoestomatol."
"Revista FOA","Rev. FOA"
"Revista Gaucha de Enfermagem","Rev. Gaucha Enferm."
"Revista Gaucha de Odontologia","Rev. Gaucha Odontol."
"Revista Guatemalteca de Estomatologia","Rev. Guatem. Estomatol."
"Revista Iberica de Endocrinologia","Rev. Iber. Endocrinol."
"Revista Ibero-Americana de Ortodoncia","Rev. Iberoam. Ortod."
"Revista Interamericana de Radiologia","Rev. Interam. Radiol."
"Revista Latino-Americana de Enfermagem","Rev. Lat. Am. Enfermagem"
"Revista Latinoamericana de Cirugia Plastica","Rev. Latinoam. Cir. Plast."
"Revista Latinoamericana de Microbiologia","Rev. Latinoam. Microbiol."
"Revista Latinoamericana de Microbiologia y Parasitologia","Rev. Latinoam. Microbiol. Parasitol. (Mex.)"
